route,width,repeat,initial,phase,listStarts,listCompleted,listAborted,tableStarts,tableCompleted,tableAborted,roundStarts,authStarts,streamStarts,nativeListStarts,nativeTableStarts
history,320,2,pending,pending-release,3,3,0,0,0,0,0,0,0,3,0
history,320,2,pending,held-match,3,0,3,1,0,1,0,0,0,3,1
history,320,2,pending,error,0,0,0,0,0,0,0,0,1,0,0
history,320,2,pending,reconnect,3,3,0,1,1,0,1,0,0,3,1
history,320,2,pending,resume,3,3,0,1,1,0,1,1,0,3,1
history,320,2,pending,account-held,3,0,3,1,0,1,0,0,0,3,1
history,320,2,pending,account,3,3,0,2,1,1,2,1,1,3,2
history,320,2,pending,denial,3,0,3,1,1,0,1,0,0,3,1
history,320,2,pending,recovery,3,3,0,1,1,0,1,0,0,3,1
global,320,1,settled,initial,3,3,0,1,1,0,1,1,1,3,1
global,320,1,settled,open,6,3,3,1,1,0,1,0,0,6,1
global,320,1,settled,visibility,3,0,3,1,1,0,1,0,0,3,1
global,320,1,settled,table-release,3,3,0,0,0,0,0,0,0,3,0
global,320,1,settled,pending-match,3,0,3,1,0,1,0,0,0,3,1
global,320,1,settled,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
global,320,1,settled,pending-release,3,3,0,0,0,0,0,0,0,3,0
global,320,1,settled,held-match,3,0,3,1,0,1,0,0,0,3,1
global,320,1,settled,error,0,0,0,0,0,0,0,0,1,0,0
global,320,1,settled,reconnect,3,3,0,1,1,0,1,0,0,3,1
global,320,1,settled,resume,3,3,0,1,1,0,1,1,0,3,1
global,320,1,settled,account-held,3,0,3,1,0,1,0,0,0,3,1
global,320,1,settled,account,9,3,6,2,2,0,2,1,1,9,2
global,320,1,settled,denial,3,0,3,1,1,0,1,0,0,3,1
global,320,1,settled,recovery,3,3,0,1,1,0,1,0,0,3,1
global,320,2,pending,initial,0,0,0,1,1,0,1,1,1,3,1
global,320,2,pending,open,9,3,6,1,1,0,1,0,0,6,1
global,320,2,pending,visibility,3,0,3,1,1,0,1,0,0,3,1
global,320,2,pending,table-release,3,3,0,0,0,0,0,0,0,3,0
global,320,2,pending,pending-match,3,0,3,1,0,1,0,0,0,3,1
global,320,2,pending,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
global,320,2,pending,pending-release,3,3,0,0,0,0,0,0,0,3,0
global,320,2,pending,held-match,3,0,3,1,0,1,0,0,0,3,1
global,320,2,pending,error,0,0,0,0,0,0,0,0,1,0,0
global,320,2,pending,reconnect,3,3,0,1,1,0,1,0,0,3,1
global,320,2,pending,resume,3,3,0,1,1,0,1,1,0,3,1
global,320,2,pending,account-held,3,0,3,1,0,1,0,0,0,3,1
global,320,2,pending,account,9,3,6,2,2,0,2,1,1,9,2
global,320,2,pending,denial,3,0,3,1,1,0,1,0,0,3,1
global,320,2,pending,recovery,3,3,0,1,1,0,1,0,0,3,1
direct,390,1,settled,initial,3,3,0,1,1,0,1,1,1,3,1
direct,390,1,settled,open,6,3,3,1,1,0,1,0,0,6,1
direct,390,1,settled,visibility,3,0,3,1,1,0,1,0,0,3,1
direct,390,1,settled,table-release,3,3,0,0,0,0,0,0,0,3,0
direct,390,1,settled,pending-match,3,0,3,1,0,1,0,0,0,3,1
direct,390,1,settled,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
direct,390,1,settled,pending-release,3,3,0,0,0,0,0,0,0,3,0
direct,390,1,settled,held-match,3,0,3,1,0,1,0,0,0,3,1
direct,390,1,settled,error,0,0,0,0,0,0,0,0,1,0,0
direct,390,1,settled,reconnect,3,3,0,1,1,0,1,0,0,3,1
direct,390,1,settled,resume,3,3,0,1,1,0,1,1,0,3,1
direct,390,1,settled,account-held,3,0,3,1,0,1,0,0,0,3,1
direct,390,1,settled,account,9,3,6,2,2,0,2,1,1,9,2
direct,390,1,settled,denial,3,0,3,1,0,1,1,0,0,3,1
direct,390,1,settled,recovery,3,3,0,1,1,0,1,0,0,3,1
direct,390,2,pending,initial,0,0,0,1,1,0,1,1,1,3,1
direct,390,2,pending,open,9,3,6,1,1,0,1,0,0,6,1
direct,390,2,pending,visibility,3,0,3,1,1,0,1,0,0,3,1
direct,390,2,pending,table-release,3,3,0,0,0,0,0,0,0,3,0
direct,390,2,pending,pending-match,3,0,3,1,0,1,0,0,0,3,1
direct,390,2,pending,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
direct,390,2,pending,pending-release,3,3,0,0,0,0,0,0,0,3,0
direct,390,2,pending,held-match,3,0,3,1,0,1,0,0,0,3,1
direct,390,2,pending,error,0,0,0,0,0,0,0,0,1,0,0
direct,390,2,pending,reconnect,3,3,0,1,1,0,1,0,0,3,1
direct,390,2,pending,resume,3,3,0,1,1,0,1,1,0,3,1
direct,390,2,pending,account-held,3,0,3,1,0,1,0,0,0,3,1
direct,390,2,pending,account,9,3,6,2,2,0,2,1,1,9,2
direct,390,2,pending,denial,3,0,3,1,0,1,1,0,0,3,1
direct,390,2,pending,recovery,3,3,0,1,1,0,1,0,0,3,1
history,390,1,settled,initial,3,3,0,1,1,0,1,1,1,3,1
history,390,1,settled,open,6,3,3,1,1,0,1,0,0,6,1
history,390,1,settled,visibility,3,0,3,1,1,0,1,0,0,3,1
history,390,1,settled,table-release,3,3,0,0,0,0,0,0,0,3,0
history,390,1,settled,pending-match,3,0,3,1,0,1,0,0,0,3,1
history,390,1,settled,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
history,390,1,settled,pending-release,3,3,0,0,0,0,0,0,0,3,0
history,390,1,settled,held-match,3,0,3,1,0,1,0,0,0,3,1
history,390,1,settled,error,0,0,0,0,0,0,0,0,1,0,0
history,390,1,settled,reconnect,3,3,0,1,1,0,1,0,0,3,1
history,390,1,settled,resume,3,3,0,1,1,0,1,1,0,3,1
history,390,1,settled,account-held,3,0,3,1,0,1,0,0,0,3,1
history,390,1,settled,account,3,3,0,2,1,1,2,1,1,3,2
history,390,1,settled,denial,3,0,3,1,0,1,1,0,0,3,1
history,390,1,settled,recovery,3,3,0,1,1,0,1,0,0,3,1
history,390,2,pending,initial,3,0,3,1,1,0,1,1,1,3,1
history,390,2,pending,open,6,3,3,1,1,0,1,0,0,6,1
history,390,2,pending,visibility,3,0,3,1,1,0,1,0,0,3,1
history,390,2,pending,table-release,3,3,0,0,0,0,0,0,0,3,0
history,390,2,pending,pending-match,3,0,3,1,0,1,0,0,0,3,1
history,390,2,pending,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
history,390,2,pending,pending-release,3,3,0,0,0,0,0,0,0,3,0
history,390,2,pending,held-match,3,0,3,1,0,1,0,0,0,3,1
history,390,2,pending,error,0,0,0,0,0,0,0,0,1,0,0
history,390,2,pending,reconnect,3,3,0,1,1,0,1,0,0,3,1
history,390,2,pending,resume,3,3,0,1,1,0,1,1,0,3,1
history,390,2,pending,account-held,3,0,3,1,0,1,0,0,0,3,1
history,390,2,pending,account,3,3,0,2,1,1,2,1,1,3,2
history,390,2,pending,denial,3,0,3,1,0,1,1,0,0,3,1
history,390,2,pending,recovery,3,3,0,1,1,0,1,0,0,3,1
global,390,1,settled,initial,3,3,0,1,1,0,1,1,1,3,1
global,390,1,settled,open,6,3,3,1,1,0,1,0,0,6,1
global,390,1,settled,visibility,3,0,3,1,1,0,1,0,0,3,1
global,390,1,settled,table-release,3,3,0,0,0,0,0,0,0,3,0
global,390,1,settled,pending-match,3,0,3,1,0,1,0,0,0,3,1
global,390,1,settled,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
global,390,1,settled,pending-release,3,3,0,0,0,0,0,0,0,3,0
global,390,1,settled,held-match,3,0,3,1,0,1,0,0,0,3,1
global,390,1,settled,error,0,0,0,0,0,0,0,0,1,0,0
global,390,1,settled,reconnect,3,3,0,1,1,0,1,0,0,3,1
global,390,1,settled,resume,3,3,0,1,1,0,1,1,0,3,1
global,390,1,settled,account-held,3,0,3,1,0,1,0,0,0,3,1
global,390,1,settled,account,9,3,6,2,2,0,2,1,1,9,2
global,390,1,settled,denial,3,0,3,1,0,1,1,0,0,3,1
global,390,1,settled,recovery,3,3,0,1,1,0,1,0,0,3,1
global,390,2,pending,initial,3,0,3,1,1,0,1,1,1,3,1
global,390,2,pending,open,6,3,3,1,1,0,1,0,0,6,1
global,390,2,pending,visibility,3,0,3,1,1,0,1,0,0,3,1
global,390,2,pending,table-release,3,3,0,0,0,0,0,0,0,3,0
global,390,2,pending,pending-match,3,0,3,1,0,1,0,0,0,3,1
global,390,2,pending,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
global,390,2,pending,pending-release,3,3,0,0,0,0,0,0,0,3,0
global,390,2,pending,held-match,3,0,3,1,0,1,0,0,0,3,1
global,390,2,pending,error,0,0,0,0,0,0,0,0,1,0,0
global,390,2,pending,reconnect,3,3,0,1,1,0,1,0,0,3,1
global,390,2,pending,resume,3,3,0,1,1,0,1,1,0,3,1
global,390,2,pending,account-held,3,0,3,1,0,1,0,0,0,3,1
global,390,2,pending,account,9,3,6,2,2,0,2,1,1,9,2
global,390,2,pending,denial,3,0,3,1,0,1,1,0,0,3,1
global,390,2,pending,recovery,3,3,0,1,1,0,1,0,0,3,1
direct,1280,1,settled,initial,3,3,0,1,1,0,1,1,1,3,1
direct,1280,1,settled,open,6,3,3,1,1,0,1,0,0,6,1
direct,1280,1,settled,visibility,3,0,3,1,1,0,1,0,0,3,1
direct,1280,1,settled,table-release,3,3,0,0,0,0,0,0,0,3,0
direct,1280,1,settled,pending-match,3,0,3,1,0,1,0,0,0,3,1
direct,1280,1,settled,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
direct,1280,1,settled,pending-release,3,3,0,0,0,0,0,0,0,3,0
direct,1280,1,settled,held-match,3,0,3,1,0,1,0,0,0,3,1
direct,1280,1,settled,error,0,0,0,0,0,0,0,0,1,0,0
direct,1280,1,settled,reconnect,3,3,0,1,1,0,1,0,0,3,1
direct,1280,1,settled,resume,3,3,0,1,1,0,1,1,0,3,1
direct,1280,1,settled,account-held,3,0,3,1,0,1,0,0,0,3,1
direct,1280,1,settled,account,9,3,6,2,2,0,2,1,1,9,2
direct,1280,1,settled,denial,6,1,5,1,1,0,1,0,0,6,1
direct,1280,1,settled,recovery,3,3,0,1,1,0,1,0,0,3,1
direct,1280,2,pending,initial,3,0,3,1,1,0,1,1,1,3,1
direct,1280,2,pending,open,6,3,3,1,1,0,1,0,0,6,1
direct,1280,2,pending,visibility,3,0,3,1,1,0,1,0,0,3,1
direct,1280,2,pending,table-release,3,3,0,0,0,0,0,0,0,3,0
direct,1280,2,pending,pending-match,3,0,3,1,0,1,0,0,0,3,1
direct,1280,2,pending,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
direct,1280,2,pending,pending-release,3,3,0,0,0,0,0,0,0,3,0
direct,1280,2,pending,held-match,3,0,3,1,0,1,0,0,0,3,1
direct,1280,2,pending,error,0,0,0,0,0,0,0,0,1,0,0
direct,1280,2,pending,reconnect,3,3,0,1,1,0,1,0,0,3,1
direct,1280,2,pending,resume,3,3,0,1,1,0,1,1,0,3,1
direct,1280,2,pending,account-held,3,0,3,1,0,1,0,0,0,3,1
direct,1280,2,pending,account,9,3,6,2,2,0,2,1,1,9,2
direct,1280,2,pending,denial,6,1,5,1,1,0,1,0,0,6,1
direct,1280,2,pending,recovery,3,3,0,1,1,0,1,0,0,3,1
history,1280,1,settled,initial,3,3,0,1,1,0,1,1,1,3,1
history,1280,1,settled,open,6,3,3,1,1,0,1,0,0,6,1
history,1280,1,settled,visibility,3,0,3,1,1,0,1,0,0,3,1
history,1280,1,settled,table-release,3,3,0,0,0,0,0,0,0,3,0
history,1280,1,settled,pending-match,3,0,3,1,0,1,0,0,0,3,1
history,1280,1,settled,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
history,1280,1,settled,pending-release,3,3,0,0,0,0,0,0,0,3,0
history,1280,1,settled,held-match,3,0,3,1,0,1,0,0,0,3,1
history,1280,1,settled,error,0,0,0,0,0,0,0,0,1,0,0
history,1280,1,settled,reconnect,3,3,0,1,1,0,1,0,0,3,1
history,1280,1,settled,resume,3,3,0,1,1,0,1,1,0,3,1
history,1280,1,settled,account-held,3,0,3,1,0,1,0,0,0,3,1
history,1280,1,settled,account,3,3,0,2,1,1,2,1,1,3,2
history,1280,1,settled,denial,6,1,5,1,1,0,1,0,0,6,1
history,1280,1,settled,recovery,3,3,0,1,1,0,1,0,0,3,1
history,1280,2,pending,initial,3,0,3,1,1,0,1,1,1,3,1
history,1280,2,pending,open,6,3,3,1,1,0,1,0,0,6,1
history,1280,2,pending,visibility,3,0,3,1,1,0,1,0,0,3,1
history,1280,2,pending,table-release,3,3,0,0,0,0,0,0,0,3,0
history,1280,2,pending,pending-match,3,0,3,1,0,1,0,0,0,3,1
history,1280,2,pending,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
history,1280,2,pending,pending-release,3,3,0,0,0,0,0,0,0,3,0
history,1280,2,pending,held-match,3,0,3,1,0,1,0,0,0,3,1
history,1280,2,pending,error,0,0,0,0,0,0,0,0,1,0,0
history,1280,2,pending,reconnect,3,3,0,1,1,0,1,0,0,3,1
history,1280,2,pending,resume,3,3,0,1,1,0,1,1,0,3,1
history,1280,2,pending,account-held,3,0,3,1,0,1,0,0,0,3,1
history,1280,2,pending,account,3,3,0,2,1,1,2,1,1,3,2
history,1280,2,pending,denial,6,1,5,1,1,0,1,0,0,6,1
history,1280,2,pending,recovery,3,3,0,1,1,0,1,0,0,3,1
global,1280,1,settled,initial,3,3,0,1,1,0,1,1,1,3,1
global,1280,1,settled,open,6,3,3,1,1,0,1,0,0,6,1
global,1280,1,settled,visibility,3,0,3,1,1,0,1,0,0,3,1
global,1280,1,settled,table-release,3,3,0,0,0,0,0,0,0,3,0
global,1280,1,settled,pending-match,3,0,3,1,0,1,0,0,0,3,1
global,1280,1,settled,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
global,1280,1,settled,pending-release,3,3,0,0,0,0,0,0,0,3,0
global,1280,1,settled,held-match,3,0,3,1,0,1,0,0,0,3,1
global,1280,1,settled,error,0,0,0,0,0,0,0,0,1,0,0
global,1280,1,settled,reconnect,3,3,0,1,1,0,1,0,0,3,1
global,1280,1,settled,resume,3,3,0,1,1,0,1,1,0,3,1
global,1280,1,settled,account-held,3,0,3,1,0,1,0,0,0,3,1
global,1280,1,settled,account,9,3,6,2,2,0,2,1,1,9,2
global,1280,1,settled,denial,6,1,5,1,1,0,1,0,0,6,1
global,1280,1,settled,recovery,3,3,0,1,1,0,1,0,0,3,1
global,1280,2,pending,initial,3,0,3,1,1,0,1,1,1,3,1
global,1280,2,pending,open,6,3,3,1,1,0,1,0,0,6,1
global,1280,2,pending,visibility,3,0,3,1,1,0,1,0,0,3,1
global,1280,2,pending,table-release,3,3,0,0,0,0,0,0,0,3,0
global,1280,2,pending,pending-match,3,0,3,1,0,1,0,0,0,3,1
global,1280,2,pending,visibility-pending,3,0,3,1,1,0,1,0,0,3,1
global,1280,2,pending,pending-release,3,3,0,0,0,0,0,0,0,3,0
global,1280,2,pending,held-match,3,0,3,1,0,1,0,0,0,3,1
global,1280,2,pending,error,0,0,0,0,0,0,0,0,1,0,0
global,1280,2,pending,reconnect,3,3,0,1,1,0,1,0,0,3,1
global,1280,2,pending,resume,3,3,0,1,1,0,1,1,0,3,1
global,1280,2,pending,account-held,3,0,3,1,0,1,0,0,0,3,1
global,1280,2,pending,account,9,3,6,2,2,0,2,1,1,9,2
global,1280,2,pending,denial,6,1,5,1,1,0,1,0,0,6,1
global,1280,2,pending,recovery,3,3,0,1,1,0,1,0,0,3,1
